business_id,rating,longitude,latitude,Address
Iu-oeVzv8ZgP18NIB0UMqg,3.5,-118.274281,34.01971,3320 S Hill StSouth East LALos Angeles, CA 90007
ae5tm46-ewAhUJ6HR4fXFA,4.0,-71.1148158,42.3711328,12 Arrow StSte 108Harvard SquareCambridge, MA 02138
lb9qELwduFgBo408x2VKOA,4.0,-80.488824,43.4496452,19 King St E2nd floorKitchener, ON N2G
HPWmjuivv3xJ279qSVfNaQ,3.5,-86.908764,40.423964,325 W State StWest Lafayette, IN 47906
DARh6yjrGGVZ7R3Gdh4CMA,3.5,-97.7344962,30.2904945,2803 San Jacinto BlvdUniversity of TexasAustin, TX 78705
ZKcVHVlD-kwmXFlnPzxpMg,3.5,-84.3871775,33.7769878,817 West Peachtree Street, Suite 220MidtownAtlanta, GA 30308
HIPGr2gSEN4T73tjz47hpw,3.5,-74.6608591,40.3497226,1 Palmer Sq EPrinceton, NJ 08542
A_Fm4v2-gQuGBBI-GBx4Uw,4.0,-73.7102039,42.7808878,16 Division StCohoes, NY 12047
-ilTnXu41RrxQITuolQhmQ,3.0,-75.1871563,39.9552997,3218 Market StUniversity CityPhiladelphia, PA 19104
L5ABFgTmN-T-uZjuGpoi3Q,5.0,-95.41811,29.719274,5829 Kirby DrWest UniversityHouston, TX 77005
M1pXCGikSigFib_ZZzKMnA,5.0,-71.0823831,42.3518821,257 Marlborough StBack BayBoston, MA 02116
__PHRVOgyR-WgkKPHwnvoA,4.0,-117.217668,32.875199,4126 Executive DrLa Jolla, CA 92037
9j6aqUdpPojPFkb265ep3w,5.0,-118.132939,34.14502,800 E. Colorado BlvdPasadenaPasadena, CA 91101
MuTJSKkzF_fmK-eG8RoZSA,3.5,-73.688341,42.735455,403 River StTroy, NY 12181
EjgQxDOUS-GFLsNxoEFJJg,3.5,-75.19993,39.96244,Liberty Place1625 Chestnut StMantuaPhiladelphia, PA 19103
zRvrZaXYgZtFaA-ZR93pfA,2.5,-120.659474,35.280606,1023 Marsh StSan Luis Obispo, CA 93401
ipTk8GbPjycGDqGgUZrl9w,3.5,-74.6627477,40.3494332,8 Chambers StPrinceton, NJ 08542
8q_fyg8fkMeVx69jDhJ7jw,4.0,-95.4147852,29.7061077,2401 W Holcombe BlvdWest UniversityHouston, TX 77246
iT581VVVGgpik06KplZOuQ,4.0,-86.8595799,40.416886,3305 South StLafayette, IN 47904
QYOtmUPz0eTkV2sLuRHPvg,4.0,-117.7179955,34.0943947,250 W First StSte 146Claremont, CA 91711
UR9H6ZcjMjGhJmmITypI2A,3.5,-120.664846,35.2792631,1040 Broad StreetSan Luis Obispo, CA 93401
CyUfjTpoIgNghGlqfz9aEw,4.0,-118.26453,34.015521,701 E Jefferson BlvdSouth East LALos Angeles, CA 90011
jztBVgN-TAXhUKczMdB9zA,4.5,-118.132446289,34.1380233765,455 S Lake AvePasadenaPasadena, CA 91101
X9Hna0jBuwkFi-PoTl1w6A,4.5,-120.6638967,35.2815383,817 Palm StSan Luis Obispo, CA 93401
h4IRxYZVDRheLduKfnMDkA,4.5,-71.4121495,41.8234485,201 Westminster StDownCityProvidence, RI 02903
fRYyVkbsiUntbUTCItwVeA,4.0,-75.1856104,39.945448,600 Schuylkill AveGraduate HospitalPhiladelphia, PA 19146
JY576sTpB3ljay2IAajZ2w,4.0,-73.9652725,40.805698,2892 BroadwayMorningside HeightsNew York, NY 10025
Q-aST5Z92-l8yq_NkbX7aQ,5.0,-76.5000327,42.422134,953 Danby RdIthaca, NY 14850
X9OB8N7ZlmMlncHzeO_pmg,3.0,-86.878051,40.417601,1538 Main StLafayette, IN 47905
8Q5YPzkOmfVIvZeldC9o4Q,1.0,-117.68282,34.105888,1690 W Foothill BlvdUpland, CA 91786
mStLDG6jwFG_0qeLUJKmZw,4.0,-83.7484321,42.2799232,215 S Main StDowntown Ann ArborAnn Arbor, MI 48104
WC6y30BJZ8CLjJXDL_jaKg,4.0,-79.952323,40.45204,305 N Craig StOaklandPittsburgh, PA 15213
U-S4SIklb8vc4fLkoVPTCA,3.0,-95.410316,29.7314451,2020 Southwest FwyMuseum DistrictHouston, TX 77098
oB0ogXCEgNOv1qPdDXUtnQ,3.0,-86.8867492676,40.4184624856,133 N 4th StLafayette, IN 47901
QbmyoM98Wfl015RQ8JK1qA,4.0,-118.2884738,34.0202738,University Park CampusSouth Los AngelesLos Angeles, CA 90089
iD6RCiqdOsjGGaQKG356zA,3.0,-118.2839517,34.0256925,3219 Hoover StSouth Los AngelesLos Angeles, CA 90007
xbEoDp0TttnIl7BiNJWVUQ,3.5,-86.84244,40.4165649,The Pavillions100 S Creasy LaneLafayette, IN 47905
4L8sk1KU1tsHEVImKgGv8Q,5.0,-88.214384,40.116792,602 W University AveUrbana, IL 61801
OH0LxbsALqY9vk5dMKCZ3g,4.0,-79.9564375,40.4402973,237 Atwood StOaklandPittsburgh, PA 15213
CrjZoiaRdFivE1esbkQ7sw,4.0,-71.093874,42.359145,84 Massachusetts AveKendall Square/MITCambridge, MA 02139
cgoq8ACyJrSG1OBWcsKEUA,4.0,-117.6896847,34.1054373,922 N Central AveUpland, CA 91786
oidBvZouxEal1NWe5ARrVw,3.5,-76.4875033,42.4420028,410 Eddy StIthaca, NY 14850
dlN9tXw24o4gcREvSGNkgQ,3.0,-84.4043175,33.7819259,1005 Hemphill Ave NWGeorgia TechAtlanta, GA 30318
MnThD5q-m9oLigW5SoWMJQ,3.5,-79.9481151,40.4543642,4757 Baum BlvdBloomfieldPittsburgh, PA 15213
3k4K6l7SP7B4fzq9KpHy0A,3.5,-79.059954,35.9117188,607 W Franklin StChapel Hill, NC 27516
0ttf8ZaXC_67Tv1Gx47WBQ,4.0,-71.0872825,42.3624135,350 Main StKendall Square/MITCambridge, MA 02142
EHMx2IhI-_ooHQo0N-AnHA,3.0,-73.9551352,40.804769,2163 Frederick Douglass BlvdHarlemNew York, NY 10026
QhAPtrNAliEQG-kFH9stCg,4.5,-71.3898962,41.8232588,135 Gano StProvidence, RI 02906
Lp32rSc3OATt1P0Upa4Jxg,3.5,-86.9425982,40.4676551,Cortez & US 52West Lafayette, IN 47906
cvvFEEEkZNyDbNy8UB6esw,3.0,-71.087481,42.362913,5 Cambridge Ctr Ste 5Kendall Square/MITCambridge, MA 02142
ui-X3rHtu8t6eVTEXx4bfg,4.0,-122.1617321,37.4390853,805 El Camino RealSte APalo Alto, CA 94301
qTC7mSF4mdzUYRR9mdKTeQ,3.5,-117.6963732,34.088005,2148 Montclair Plaza LaneMontclair, CA 91763
PBqjmOB7Yjti3cFqy8-Ctw,3.5,-122.16836,37.426398,Cubberley Education Building485 Lasuen MallStanford, CA 94305
t8xAkCfZolJu3bvGk4C8_g,1.0,-74.696927,40.308024,3975 Princeton PikePrinceton, NJ 08540
